IATA,Manufacturer,Type_Model,Wake
100,Fokker,100,M
141,BAe,146-100,M
142,BAe,146-200,M
143,BAe,146-300,M
146,BAe,146,M
14F,BAe,146 Freighter (-100/200/300QT & QC),M
14X,BAe,146 Freighter (-100QT & QC),M
14Y,BAe,146 Freighter (-200QT & QC),M
14Z,BAe,146 Freighter (-300QT & QC),M
310,Airbus,A310,H
312,Airbus,A310-200,H
313,Airbus,A310-300,H
318,Airbus,A318,M
319,Airbus,A319,M
31F,Airbus,A310F,M
31X,Airbus,A310-200F,M
31Y,Airbus,A310-300F,M
320,Airbus,A320-100/200,M
321,Airbus,A321-100/200,M
32A,Airbus,A320 (sharklets),M
32B,Airbus,A321 (sharklets),M
32C,Airbus,A318 (sharklets),M
32D,Airbus,A319 (sharklets),M
330,Airbus,A330,H
332,Airbus,A330-200,H
333,Airbus,A330-300,H
33F,Airbus,A330 Freighter,H
33X,Airbus,A330-200 Freighter,H
340,Airbus,A340,H
342,Airbus,A340-200,H
343,Airbus,A340-300,H
345,Airbus,A340-500,H
346,Airbus,A340-600,H
351,Airbus,A350-1000,H
358,Airbus,A350-800,H
359,Airbus,A350-900,H
380,Airbus,A380,J
703,Boeing,707-300,H
707,Boeing,707/720,H
70F,Boeing,707 Freighter,H
70M,Boeing,707 Combi,H
717,Boeing,717,M
721,Boeing,727-100,M
722,Boeing,727-200,M
727,Boeing,727,M
72B,Boeing,727-100 Mixed,M
72C,Boeing,727-200 Mixed,M
72F,Boeing,727 Freighter (-100/200),M
72M,Boeing,727 Combi,M
72S,Boeing,727-200 Adv.,M
72X,Boeing,727-100 Freighter,M
72Y,Boeing,727-200 Freighter,M
731,Boeing,737-100,M
732,Boeing,737-200,M
733,Boeing,737-300,M
734,Boeing,737-400,M
735,Boeing,737-500,M
736,Boeing,737-600,M
737,Boeing,737,M
738,Boeing,737-800,M
739,Boeing,737-900,M
73C,Boeing,737-300 (winglets),M
73F,Boeing,737 Freighter,M
73G,Boeing,737-700,M
73H,Boeing,737-800 (winglets),M
73J,Boeing,737-900 (winglets),M
73M,Boeing,737-200 Combi,M
73W,Boeing,737-700 (winglets),M
73X,Boeing,737-200 Freighter,M
73Y,Boeing,737-300 Freighter,M
741,Boeing,747-100,H
742,Boeing,747-200,H
743,Boeing,747-300,H
744,Boeing,747-400,H
747,Boeing,747,H
74C,Boeing,747-200 Combi,H
74D,Boeing,747-300 Combi,H
74E,Boeing,747-400 Combi,H
74F,Boeing,747 Freighter,H
74H,Boeing,747-8i,H
74J,Boeing,747-400 (Domestic),H
74L,Boeing,747SP,H
74M,Boeing,747 Combi,H
74N,Boeing,747-8F,H
74R,Boeing,747SR,H
74T,Boeing,747-100 Freighter,H
74U,Boeing,747-300 / 747-200 SUD Freighter,H
74V,Boeing,747SR Freighter,H
74X,Boeing,747-200 Freighter,H
74Y,Boeing,747-400 Freighter,H
752,Boeing,757-200,H
753,Boeing,757-300,H
757,Boeing,757,H
75F,Boeing,757 Freighter,H
75M,Boeing,757 Mixed,H
75T,Boeing,757-300 (winglets),H
75W,Boeing,757-200 (winglets),H
762,Boeing,767-200,H
763,Boeing,767-300,H
764,Boeing,767-400,H
767,Boeing,767,H
76F,Boeing,767 Freighter,H
76W,Boeing,767-300 (winglets),H
76X,Boeing,767-200 Freighter,H
76Y,Boeing,767-300 Freighter,H
772,Boeing,777-200,H
773,Boeing,777-300,H
777,Boeing,777,H
77F,Boeing,777 Freighter,H
77L,Boeing,777-200LR,H
77W,Boeing,777-300ER,H
788,Boeing,787-8,H
789,Boeing,787-9,H
A26,Antonov,An-26,L
A28,Antonov,An-28 / PZL Mielec M-28,L
A30,Antonov,An-30,L
A32,Antonov,An-32,L
A40,Antonov,An-140,M
A4F,Antonov,An-124,H
AB3,Airbus,A300,H
AB4,Airbus,A300B2/B4/C4,H
AB6,Airbus,A300-600,H
ABB,Airbus,A300-600ST Beluga,H
ABF,Airbus,A300F,H
ABX,Airbus,A300C4/F4 Freighter,H
ABY,Airbus,A300-600F,H
ACD,Rockwell,Commander/Turbo Commander,L
ACP,Rockwell,Commander,L
AGH,Agusta / AgustaWestland,A-109,L
AN4,Antonov,An-24,M
AN6,Antonov,An-26 / An-30 / An-32,M
AN7,Antonov,An-72 / An-74,M
ANF,Antonov,An-12,M
APH,Eurocopter,SA330 Puma / AS332 Super Puma,M
AR1,BAe,Avro RJ100,M
AR7,BAe,Avro RJ70,M
AR8,BAe,Avro RJ85,M
ARJ,BAe,Avro RJ70 / RJ85 / RJ100,M
AT4,ATR,ATR 42-300 / 320,M
AT5,ATR,ATR 42-500,M
AT7,ATR,ATR 72,M
ATP,BAe,ATP,M
ATR,ATR,ATR 42 / ATR 72,M
B11,BAC,One Eleven,M
B12,BAC,One Eleven 200,M
B13,BAC,One Eleven 300,M
B14,BAC,One Eleven 400/47,M
B15,BAC,One Eleven 500,M
B72,Boeing,720B,M
BE1,Beech,1900/1900C/1900D,M
BE2,Beech,Beech twin piston,L
BEC,Beech,Beech light aircraft,L
BEH,Beech,1900D,M
BEP,Beech,Beech singe piston,L
BES,Beech,1900/1900C,M
BET,Beech,Beech twin turboprop,L
