IATA3,Name,City,Country,Elevation,Latitude,Longitude
GKA,Goroka Airport,Goroka,Papua New Guinea,5282,-6.081689834590001,145.391998291
MAG,Madang Airport,Madang,Papua New Guinea,20,-5.20707988739,145.789001465
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,5388,-5.826789855957031,144.29600524902344
LAE,Nadzab Airport,Nadzab,Papua New Guinea,239,-6.569803,146.725977
POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,146,-9.443380355834961,147.22000122070312
WWK,Wewak International Airport,Wewak,Papua New Guinea,19,-3.58383011818,143.669006348
UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,112,61.1604995728,-45.4259986877
GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,283,64.19090271,-51.6781005859
SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,165,67.0122218992,-50.7116031647
THU,Thule Air Base,Thule,Greenland,251,76.5311965942,-68.7032012939
AEY,Akureyri Airport,Akureyri,Iceland,6,65.66000366210938,-18.07270050048828
EGS,Egilsstaðir Airport,Egilsstadir,Iceland,76,65.2833023071289,-14.401399612426758
HFN,Hornafjörður Airport,Hofn,Iceland,24,64.295601,-15.2272
HZK,Húsavík Airport,Husavik,Iceland,48,65.952301,-17.426001
IFJ,Ísafjörður Airport,Isafjordur,Iceland,8,66.05809783935547,-23.135299682617188
KEF,Keflavik International Airport,Keflavik,Iceland,171,63.985000610352,-22.605600357056
PFJ,Patreksfjörður Airport,Patreksfjordur,Iceland,11,65.555801,-23.965
RKV,Reykjavik Airport,Reykjavik,Iceland,48,64.1299972534,-21.9405994415
SIJ,Siglufjörður Airport,Siglufjordur,Iceland,10,66.133301,-18.9167
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,326,63.42430114746094,-20.278900146484375
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,630,46.48500061035156,-84.5093994140625
YAV,Winnipeg / St. Andrews Airport,Winnipeg,Canada,760,50.0564002991,-97.03250122070001
YAW,Halifax / CFB Shearwater Heliport,Halifax,Canada,144,44.6397018433,-63.499401092499994
