ID,StartingAirport_IATA3,DestinationAirport_IATA3,Airline_IATA2,Distance,Equipment_aircraft1_EquipmentCode,Equipment_aircraft2_EquipmentCode,Equipment_aircraft3_EquipmentCode,Equipment_aircraft4_EquipmentCode,Equipment_aircraft5_EquipmentCode,Equipment_aircraft6_EquipmentCode,Equipment_aircraft7_EquipmentCode,Equipment_aircraft8_EquipmentCode,Equipment_aircraft9_EquipmentCode
AERKZN2B,AER,KZN,2B,1507,CR2,,,,,,,,
ASFKZN2B,ASF,KZN,2B,1041,CR2,,,,,,,,
ASFMRV2B,ASF,MRV,2B,448,CR2,,,,,,,,
CEKKZN2B,CEK,KZN,2B,771,CR2,,,,,,,,
CEKOVB2B,CEK,OVB,2B,1339,CR2,,,,,,,,
DMEKZN2B,DME,KZN,2B,716,CR2,,,,,,,,
DMENBC2B,DME,NBC,2B,893,CR2,,,,,,,,
DMETGK2B,DME,TGK,2B,915,CR2,,,,,,,,
DMEUUA2B,DME,UUA,2B,952,CR2,,,,,,,,
EGOKGD2B,EGO,KGD,2B,1172,CR2,,,,,,,,
EGOKZN2B,EGO,KZN,2B,1009,CR2,,,,,,,,
GYDNBC2B,GYD,NBC,2B,1686,CR2,,,,,,,,
KGDEGO2B,KGD,EGO,2B,1172,CR2,,,,,,,,
KZNAER2B,KZN,AER,2B,1507,CR2,,,,,,,,
KZNASF2B,KZN,ASF,2B,1041,CR2,,,,,,,,
KZNCEK2B,KZN,CEK,2B,771,CR2,,,,,,,,
KZNDME2B,KZN,DME,2B,716,CR2,,,,,,,,
KZNEGO2B,KZN,EGO,2B,1009,CR2,,,,,,,,
KZNLED2B,KZN,LED,2B,1217,CR2,,,,,,,,
KZNSVX2B,KZN,SVX,2B,724,CR2,,,,,,,,
LEDKZN2B,LED,KZN,2B,1217,CR2,,,,,,,,
LEDNBC2B,LED,NBC,2B,1373,CR2,,,,,,,,
LEDUUA2B,LED,UUA,2B,1464,CR2,,,,,,,,
MRVASF2B,MRV,ASF,2B,448,CR2,,,,,,,,
NBCDME2B,NBC,DME,2B,893,CR2,,,,,,,,
NBCGYD2B,NBC,GYD,2B,1686,CR2,,,,,,,,
NBCLED2B,NBC,LED,2B,1373,CR2,,,,,,,,
NBCSVX2B,NBC,SVX,2B,555,CR2,,,,,,,,
NJCSVX2B,NJC,SVX,2B,1013,CR2,,,,,,,,
NJCUUA2B,NJC,UUA,2B,1558,CR2,,,,,,,,
NUXSVX2B,NUX,SVX,2B,1325,CR2,,,,,,,,
OVBCEK2B,OVB,CEK,2B,1339,CR2,,,,,,,,
OVBSVX2B,OVB,SVX,2B,1371,CR2,,,,,,,,
SVXKZN2B,SVX,KZN,2B,724,CR2,,,,,,,,
SVXNBC2B,SVX,NBC,2B,555,CR2,,,,,,,,
SVXNJC2B,SVX,NJC,2B,1013,CR2,,,,,,,,
SVXNUX2B,SVX,NUX,2B,1325,CR2,,,,,,,,
SVXOVB2B,SVX,OVB,2B,1371,CR2,,,,,,,,
TGKDME2B,TGK,DME,2B,915,CR2,,,,,,,,
UUADME2B,UUA,DME,2B,952,CR2,,,,,,,,
UUALED2B,UUA,LED,2B,1464,CR2,,,,,,,,
UUANJC2B,UUA,NJC,2B,1558,CR2,,,,,,,,
BTKIKT2G,BTK,IKT,2G,488,A81,,,,,,,,
BTKOVB2G,BTK,OVB,2G,1200,A81,,,,,,,,
CEKOVB2G,CEK,OVB,2G,1339,A81,,,,,,,,
HTAIKT2G,HTA,IKT,2G,609,AN4,,,,,,,,
IKTBTK2G,IKT,BTK,2G,488,A81,,,,,,,,
IKTHTA2G,IKT,HTA,2G,609,AN4,,,,,,,,
IKTKCK2G,IKT,KCK,2G,655,AN4,,,,,,,,
IKTODO2G,IKT,ODO,2G,882,AN4,,,,,,,,
IKTOVB2G,IKT,OVB,2G,1459,A81,,,,,,,,
IKTUKX2G,IKT,UKX,2G,518,AN4,,,,,,,,
IKTULK2G,IKT,ULK,2G,1135,AN4,,,,,,,,
IKTYKS2G,IKT,YKS,2G,1861,A81,,,,,,,,
KCKIKT2G,KCK,IKT,2G,655,AN4,,,,,,,,
MJZOVB2G,MJZ,OVB,2G,1968,A81,,,,,,,,
ODOIKT2G,ODO,IKT,2G,882,AN4,,,,,,,,
OVBBTK2G,OVB,BTK,2G,1200,A81,,,,,,,,
OVBCEK2G,OVB,CEK,2G,1339,A81,,,,,,,,
OVBIKT2G,OVB,IKT,2G,1459,A81,,,,,,,,
UKXIKT2G,UKX,IKT,2G,518,AN4,,,,,,,,
ULKIKT2G,ULK,IKT,2G,1135,AN4,,,,,,,,
YKSIKT2G,YKS,IKT,2G,1861,A81,,,,,,,,
AYPLIM2I,AYP,LIM,2I,340,142,,,,,,,,
CUZLIM2I,CUZ,LIM,2I,586,142,141,,,,,,,
CUZPEM2I,CUZ,PEM,2I,311,142,,,,,,,,
HUULIM2I,HUU,LIM,2I,258,141,,,,,,,,
IQTPCL2I,IQT,PCL,2I,530,143,,,,,,,,
IQTTPP2I,IQT,TPP,2I,455,142,,,,,,,,
LIMAYP2I,LIM,AYP,2I,340,142,,,,,,,,
LIMCUZ2I,LIM,CUZ,2I,586,142,141,,,,,,,
LIMHUU2I,LIM,HUU,2I,258,141,,,,,,,,
LIMPCL2I,LIM,PCL,2I,491,143,146,,,,,,,
LIMTPP2I,LIM,TPP,2I,619,142,146,,,,,,,
PCLIQT2I,PCL,IQT,2I,530,143,,,,,,,,
PCLLIM2I,PCL,LIM,2I,491,143,146,,,,,,,
PCLTPP2I,PCL,TPP,2I,287,146,,,,,,,,
PEMCUZ2I,PEM,CUZ,2I,311,142,,,,,,,,
TPPIQT2I,TPP,IQT,2I,455,142,,,,,,,,
TPPLIM2I,TPP,LIM,2I,619,142,146,,,,,,,
TPPPCL2I,TPP,PCL,2I,287,146,,,,,,,,
ABJBOY2J,ABJ,BOY,2J,658,CRJ,,,,,,,,
ABJOUA2J,ABJ,OUA,2J,832,E70,CRJ,M87,,,,,,
ACCOUA2J,ACC,OUA,2J,765,CRJ,,,,,,,,
BKOABJ2J,BKO,ABJ,2J,922,M87,,,,,,,,
BKODKR2J,BKO,DKR,2J,1060,M87,,,,,,,,
BKOOUA2J,BKO,OUA,2J,699,CRJ,,,,,,,,
BOYABJ2J,BOY,ABJ,2J,658,CRJ,,,,,,,,
BOYOUA2J,BOY,OUA,2J,334,CRJ,,,,,,,,
COOLFW2J,COO,LFW,2J,127,M87,,,,,,,,
COOOUA2J,COO,OUA,2J,792,M87,,,,,,,,
DKRBKO2J,DKR,BKO,2J,1060,M87,,,,,,,,
DKROUA2J,DKR,OUA,2J,1748,M87,,,,,,,,
LFWOUA2J,LFW,OUA,2J,752,M87,CRJ,,,,,,,
NIMOUA2J,NIM,OUA,2J,420,CRJ,,,,,,,,
OUAABJ2J,OUA,ABJ,2J,832,E70,CRJ,M87,,,,,,
OUAACC2J,OUA,ACC,2J,765,CRJ,,,,,,,,
OUABKO2J,OUA,BKO,2J,699,M87,CRJ,,,,,,,
OUABOY2J,OUA,BOY,2J,334,CRJ,,,,,,,,
OUACOO2J,OUA,COO,2J,792,M87,,,,,,,,
OUADKR2J,OUA,DKR,2J,1748,M87,,,,,,,,
OUALFW2J,OUA,LFW,2J,752,CRJ,,,,,,,,
OUANIM2J,OUA,NIM,2J,420,CRJ,,,,,,,,
BOGGYE2K,BOG,GYE,2K,994,319,,,,,,,,
BOGUIO2K,BOG,UIO,2K,712,319,320,,,,,,,
CLOGYE2K,CLO,GYE,2K,744,319,,,,,,,,
GYEBOG2K,GYE,BOG,2K,994,319,,,,,,,,
GYECLO2K,GYE,CLO,2K,744,319,,,,,,,,
GYESCY2K,GYE,SCY,2K,1091,319,320,,,,,,,
GYEUIO2K,GYE,UIO,2K,282,320,319,,,,,,,
OCCUIO2K,OCC,UIO,2K,157,319,,,,,,,,
SCYGYE2K,SCY,GYE,2K,1091,319,320,,,,,,,
UIOBOG2K,UIO,BOG,2K,712,319,320,,,,,,,
UIOGYE2K,UIO,GYE,2K,282,319,,,,,,,,
UIOOCC2K,UIO,OCC,2K,157,319,,,,,,,,
BDSZRH2L,BDS,ZRH,2L,1065,100,,,,,,,,
BODZRH2L,BOD,ZRH,2L,771,100,,,,,,,,
BRSZRH2L,BRS,ZRH,2L,923,100,,,,,,,,
GVALPA2L,GVA,LPA,2L,2772,319,,,,,,,,
LCAZRH2L,LCA,ZRH,2L,2506,319,,,,,,,,
LPAZRH2L,LPA,ZRH,2L,3002,319,,,,,,,,
RMFZRH2L,RMF,ZRH,2L,3338,319,,,,,,,,
TFSGVA2L,TFS,GVA,2L,2833,319,,,,,,,,
ZRHBDS2L,ZRH,BDS,2L,1065,100,,,,,,,,
ZRHBOD2L,ZRH,BOD,2L,771,100,,,,,,,,
ZRHBRS2L,ZRH,BRS,2L,923,100,,,,,,,,
ZRHLCA2L,ZRH,LCA,2L,2506,319,,,,,,,,
ZRHLPA2L,ZRH,LPA,2L,3002,319,,,,,,,,
ZRHRMF2L,ZRH,RMF,2L,3338,319,,,,,,,,
AJRLYC2N,AJR,LYC,2N,119,ATP,,,,,,,,
ARNGEV2N,ARN,GEV,2N,844,ATP,,,,,,,,
ARNHAD2N,ARN,HAD,2N,445,SF3,,,,,,,,
ARNJKG2N,ARN,JKG,2N,306,ATP,SF3,,,,,,,
ARNKRF2N,ARN,KRF,2N,378,ATP,,,,,,,,
ARNKSD2N,ARN,KSD,2N,259,SF3,,,,,,,,
ARNLYC2N,ARN,LYC,2N,546,ATP,,,,,,,,
ARNMHQ2N,ARN,MHQ,2N,122,SF3,,,,,,,,
ARNOER2N,ARN,OER,2N,422,ATR,,,,,,,,
ARNPOR2N,ARN,POR,2N,292,SF3,,,,,,,,
ARNTRF2N,ARN,TRF,2N,436,SF3,,,,,,,,
ARNVBY2N,ARN,VBY,2N,223,SF3,ATP,,,,,,,
ARNVHM2N,ARN,VHM,2N,551,SF3,,,,,,,,
ARNVXO2N,ARN,VXO,2N,356,SF3,,,,,,,,
GEVARN2N,GEV,ARN,2N,844,ATP,,,,,,,,
GEVKRF2N,GEV,KRF,2N,476,ATP,,,,,,,,
HADARN2N,HAD,ARN,2N,445,SF3,ATP,,,,,,,
HADJKG2N,HAD,JKG,2N,140,ATP,SF3,,,,,,,
HADVXO2N,HAD,VXO,2N,119,SF3,,,,,,,,
HMVVHM2N,HMV,VHM,2N,159,SF3,,,,,,,,
JKGARN2N,JKG,ARN,2N,306,ATP,SF3,,,,,,,
JKGHAD2N,JKG,HAD,2N,140,ATP,SF3,,,,,,,
KOKPOR2N,KOK,POR,2N,261,SF3,,,,,,,,
KRFARN2N,KRF,ARN,2N,378,ATP,,,,,,,,
KRFGEV2N,KRF,GEV,2N,476,ATP,,,,,,,,
KSDARN2N,KSD,ARN,2N,259,SF3,,,,,,,,
LYCAJR2N,LYC,AJR,2N,119,ATP,,,,,,,,
LYCARN2N,LYC,ARN,2N,546,ATP,,,,,,,,
MHQARN2N,MHQ,ARN,2N,122,SF3,,,,,,,,
MHQTKU2N,MHQ,TKU,2N,137,SF3,,,,,,,,
OERARN2N,OER,ARN,2N,422,ATR,,,,,,,,
OSLVXO2N,OSL,VXO,2N,420,SF3,,,,,,,,
PORARN2N,POR,ARN,2N,292,SF3,,,,,,,,
PORKOK2N,POR,KOK,2N,261,SF3,,,,,,,,
TKUMHQ2N,TKU,MHQ,2N,137,SF3,,,,,,,,
TRFARN2N,TRF,ARN,2N,436,SF3,,,,,,,,
VBYARN2N,VBY,ARN,2N,223,SF3,ATP,,,,,,,
VHMARN2N,VHM,ARN,2N,551,SF3,,,,,,,,
VHMHMV2N,VHM,HMV,2N,159,SF3,,,,,,,,
VXOARN2N,VXO,ARN,2N,356,SF3,,,,,,,,
VXOOSL2N,VXO,OSL,2N,420,SF3,,,,,,,,
ADQAOS2O,ADQ,AOS,2O,9745,BNI,,,,,,,,
ADQKKB2O,ADQ,KKB,2O,9919,BNI,,,,,,,,
ADQKLN2O,ADQ,KLN,2O,92,BNI,,,,,,,,
ADQKOZ2O,ADQ,KOZ,2O,9898,BNI,,,,,,,,
ADQOLH2O,ADQ,OLH,2O,9797,BNI,,,,,,,,
AOSKZB2O,AOS,KZB,2O,11,BNI,,,,,,,,
